Date,Demand Partner,Integration Type,Deal Name or Line Item Name,Deal ID,Interactions,Bidding Interactions,eCPM,Impressions,Total Revenue
"2024-04-28","Bidswitch OpenRTB","outbrain","IN-DSP-SS-IA-Haryana - Display","31217d15-f08f-cc08-fdd6-520ea83e3883",20,0,NAN,0,0
"2024-04-25","Bidswitch OpenRTB","mobilityware","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-05-10","Bidswitch OpenRTB","displayio","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-27","Bidswitch OpenRTB","displayio","IN-DSP-SS-Kinesso (Karnataka) - Display","6774ea4e-337a-f82a-c9d1-cc711c3a5b49",20,0,NAN,0,0
"2024-04-29","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-05-10","Bidswitch OpenRTB","max","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-05-03","Bidswitch OpenRTB","medialab","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Display","321afe3c-f9ed-29af-7945-a21358cb6ca5",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","sdkandroid","IN-DSP=SS-Kinesso (Haryana) - Video","575255e3-ab72-a21b-2d16-771b7f4e8fa2",20,0,NAN,0,0
"2024-04-18","Bidswitch OpenRTB","samsung","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-04-25","Bidswitch OpenRTB","mobilityware","IN-DSP-SS-IA-Haryana - Display","31217d15-f08f-cc08-fdd6-520ea83e3883",20,0,NAN,0,0
"2024-04-15","Bidswitch OpenRTB","bigo","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-22","Bidswitch OpenRTB","a9","IN-DSP-SS-Kinesso (Maharashtra) - Video","157d0502-35d9-07fc-acca-e963c8a391dc",20,0,NAN,0,0
"2024-04-28","Bidswitch OpenRTB","prebid","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Video","cb82f34a-5313-44fc-3df8-9fa8d0e02882",20,0,NAN,0,0
"2024-05-05","Bidswitch OpenRTB","outbrain","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-05-04","Bidswitch OpenRTB","prebid","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-28","Bidswitch OpenRTB","outbrain","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Display","321afe3c-f9ed-29af-7945-a21358cb6ca5",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","SOMA API","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Video","cb82f34a-5313-44fc-3df8-9fa8d0e02882",20,0,NAN,0,0
"2024-04-25","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-05-04","Bidswitch OpenRTB","samsung","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","outbrain","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Display","4bc69435-3db1-ffd3-2760-5bce06ded216",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","sdkandroid","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-27","Bidswitch OpenRTB","displayio","IN-DSP-SS-IA (Karnataka) - Display","9ac8b714-468a-4099-4f5c-e938a9694ed3",20,0,NAN,0,0
"2024-04-15","Bidswitch OpenRTB","bigo","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","max","IN-DSP-SS-IA - Display","372715b9-c4ee-ca9a-a293-a5ea1aaf49a0",20,0,NAN,0,0
"2024-05-03","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Video","cb82f34a-5313-44fc-3df8-9fa8d0e02882",20,0,NAN,0,0
"2024-04-18","Bidswitch OpenRTB","xiaomi","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Display","321afe3c-f9ed-29af-7945-a21358cb6ca5",20,0,NAN,0,0
"2024-04-28","Bidswitch OpenRTB","prebid","IN-DSP=SS-Kinesso (Haryana) - Video","575255e3-ab72-a21b-2d16-771b7f4e8fa2",20,0,NAN,0,0
"2024-04-29","Bidswitch OpenRTB","max","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-04-29","Bidswitch OpenRTB","max","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","sdkandroid","IN-DSP=SS-Kinesso (Haryana) - Video","575255e3-ab72-a21b-2d16-771b7f4e8fa2",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","SOMA API","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","samsung","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-30","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-22","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Display","321afe3c-f9ed-29af-7945-a21358cb6ca5",20,0,NAN,0,0
"2024-04-22","Bidswitch OpenRTB","samsung","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Video","53503eca-e54d-b3ac-9421-c1c008f3992a",20,0,NAN,0,0
"2024-04-23","Bidswitch OpenRTB","max","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-04-18","Bidswitch OpenRTB","max","IN-DSP-SS-Kinesso (Maharashtra) - Video","157d0502-35d9-07fc-acca-e963c8a391dc",20,0,NAN,0,0
"2024-04-25","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Display","4bc69435-3db1-ffd3-2760-5bce06ded216",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","bigo","IN-DSP-SS-Kinesso (Maharashtra) - Video","157d0502-35d9-07fc-acca-e963c8a391dc",20,0,NAN,0,0
"2024-04-21","Bidswitch OpenRTB","xiaomi","IN-DSP=SS-Kinesso (Haryana) - Display","91076814-6f5f-2b91-2e10-e449acfad20e",20,0,NAN,0,0
"2024-04-16","Bidswitch OpenRTB","samsung","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Video","53503eca-e54d-b3ac-9421-c1c008f3992a",20,0,NAN,0,0
"2024-04-17","Bidswitch OpenRTB","mobilityware","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Display","4bc69435-3db1-ffd3-2760-5bce06ded216",20,0,NAN,0,0
"2024-04-17","Bidswitch OpenRTB","gadsme","IN-DSP-SS-Kinesso (Karnataka) - Display","6774ea4e-337a-f82a-c9d1-cc711c3a5b49",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Video","53503eca-e54d-b3ac-9421-c1c008f3992a",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","samsung","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Video","cb82f34a-5313-44fc-3df8-9fa8d0e02882",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Video","53503eca-e54d-b3ac-9421-c1c008f3992a",20,0,NAN,0,0
"2024-04-20","Bidswitch OpenRTB","ortb25","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","a9","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-05-04","Bidswitch OpenRTB","prebid","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Display","35a1603b-2d58-2e90-7576-fdfa866f92a3",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","samsung","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","ortb25","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-04-17","Bidswitch OpenRTB","gadsme","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","max","IN-DSP=SS-Kinesso (Haryana) - Video","575255e3-ab72-a21b-2d16-771b7f4e8fa2",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","displayio","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-04-17","Bidswitch OpenRTB","mobilityware","IN-DSP-SS-IA (Karnataka) - Display","9ac8b714-468a-4099-4f5c-e938a9694ed3",20,0,NAN,0,0
"2024-05-03","Bidswitch OpenRTB","mobilityware","IN-DSP-SS-Kinesso (Maharashtra) - Video","157d0502-35d9-07fc-acca-e963c8a391dc",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","ortb25","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-22","Bidswitch OpenRTB","a9","IN-DSP-SS-Kinesso (Karnataka) - Video","94defa21-03b7-e0aa-3bc1-ccabe8bed7bc",20,0,NAN,0,0
"2024-04-17","Bidswitch OpenRTB","gadsme","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Display","321afe3c-f9ed-29af-7945-a21358cb6ca5",20,0,NAN,0,0
"2024-04-18","Bidswitch OpenRTB","max","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-24","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-DSP-SS-Kinesso (Maharashtra) - Video","157d0502-35d9-07fc-acca-e963c8a391dc",20,0,NAN,0,0
"2024-05-03","Bidswitch OpenRTB","xiaomi","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Karnataka - Display","4bc69435-3db1-ffd3-2760-5bce06ded216",20,0,NAN,0,0
"2024-04-22","Bidswitch OpenRTB","a9","IN-DSP=SS-Kinesso (Haryana) - Video","575255e3-ab72-a21b-2d16-771b7f4e8fa2",20,0,NAN,0,0
"2024-04-20","Bidswitch OpenRTB","ortb25","IN-DSP-SS-IA (Karnataka) - Video","72248636-2a9f-15ea-c921-710d7ce5b747",20,0,NAN,0,0
"2024-05-11","Bidswitch OpenRTB","levelplay","IN-DSP-SS-Kinesso (Maharashtra) - Display","e22ed6ec-daec-15af-0925-af25b14d3124",20,0,NAN,0,0
"2024-04-26","Bidswitch OpenRTB","outbrain","IN-DSP=SS-Kinesso (Haryana) - Display","91076814-6f5f-2b91-2e10-e449acfad20e",20,0,NAN,0,0
"2024-05-03","Bidswitch OpenRTB","SOMA API","IN-DSP-SS-IA-Haryana - Video","8e1569c5-377c-0c9c-8409-d57667f371f1",20,0,NAN,0,0
"2024-04-19","Bidswitch OpenRTB","sdkandroid","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Maharashtra - Video","c320bd3b-5dec-a403-10f0-651dcf6925ef",20,0,NAN,0,0
"2024-04-29","Bidswitch OpenRTB","SMAATO_NATIVE_BIDDING","IN-SS-REPRISE MEDIA INDIA PRIVATE LIMITED - Haryana - Video","cb82f34a-5313-44fc-3df8-9fa8d0e02882",20,0,NAN,0,0
